Symbol,Close,Direction,Regime,Confidence,Dynamic_Lot,SL_Pips,Drift,ZF_Score
AUDNZD.m,1.20828,NEUTRAL,RANGE,0,0.0,30.0,0.012869775902008253,0.43820646821757775
AUDUSD.m,0.70347,NEUTRAL,RANGE,0,0.0,30.0,0.06654693605501247,0.1725668992143973
AUDJPY.m,112.712,NEUTRAL,RANGE,0,0.0,30.0,0.0036689496445826337,0.3737844081807058
CHFJPY.m,201.266,NEUTRAL,RANGE,0,0.0,30.0,0.006084403205345758,0.37672848338707277
EURAUD.m,1.6446800000000001,SELL,RANGE,83,0.5,30.0,0.029109992114866593,0.2175513105729079
EURCAD.m,1.61833,NEUTRAL,RANGE,0,0.0,30.0,0.06688869697370603,0.2720209595215272
EURCHF.m,0.92104,NEUTRAL,TREND,0,0.0,30.0,0.01848734843139645,0.1975176999062465
EURGBP.m,0.86334,NEUTRAL,RANGE,0,0.0,30.0,0.032846865613205364,0.08588888770279415
EURJPY.m,185.383,NEUTRAL,RANGE,0,0.0,30.0,0.025033410303880947,0.20426748992965085
EURUSD.m,1.15705,NEUTRAL,RANGE,0,0.0,30.0,0.03844513124583653,0.14233745671803888
GBPAUD.m,1.9049399999999999,NEUTRAL,RANGE,0,0.0,30.0,0.06163011426135742,0.10769975144108264
GBPCHF.m,1.0668,NEUTRAL,RANGE,0,0.0,30.0,0.050499784429937356,0.02896229298913323
GBPJPY.m,214.714,NEUTRAL,RANGE,0,0.0,30.0,0.05781622422540104,0.032491714015320305
GBPUSD.m,1.34013,NEUTRAL,RANGE,0,0.0,30.0,0.005955582311171966,0.1570421625747008
NZDUSD.m,0.58218,NEUTRAL,RANGE,0,0.0,30.0,0.07999414360086814,0.06560353314304776
USDCAD.m,1.39873,NEUTRAL,RANGE,0,0.0,30.0,0.029155005739939992,0.27977254140499375
USDCHF.m,0.79601,NEUTRAL,RANGE,0,0.0,30.0,0.056523316841248006,0.20168825047660158
USDJPY.m,160.22,NEUTRAL,RANGE,0,0.0,30.0,0.06344091974459005,0.020243007215695837
AUDCAD.m,0.98394,NEUTRAL,RANGE,0,0.0,30.0,0.09449435859691402,0.221511694452042
AUDCHF.m,0.55998,NEUTRAL,RANGE,0,0.0,30.0,0.00981392945616725,0.4813827481996173
EURNZD.m,1.98732,NEUTRAL,RANGE,0,0.0,30.0,0.040741954956089003,0.17245135051869057
GBPCAD.m,1.87447,NEUTRAL,RANGE,0,0.0,30.0,0.03483589676673356,0.055081587339641344
GBPNZD.m,2.30179,NEUTRAL,RANGE,0,0.0,30.0,0.07354417470894627,0.005992941602511466
NZDCAD.m,0.8143,NEUTRAL,RANGE,0,0.0,30.0,0.10870108079423463,0.04590717027952846
NZDCHF.m,0.46344,NEUTRAL,RANGE,0,0.0,30.0,0.02607432656066315,0.2164556735659591
NZDJPY.m,93.278,NEUTRAL,RANGE,0,0.0,30.0,0.016953043192409926,0.203751673676491
XAGUSD.m,66.697,NEUTRAL,RANGE,0,0.0,30.0,0.47642806753972183,0.20399530187508105
XAUUSD.m,4174.55,NEUTRAL,RANGE,0,0.0,30.0,0.1193174709796117,0.2941246351919803
