Symbol,Close,Direction,Regime,Confidence,Dynamic_Lot,SL_Pips,Drift,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Delta_Drift,Delta_ZF_Score,Direction_Changed,Memory_Status
AUDNZD.m,1.20833,NEUTRAL,RANGE,0,0.0,30.0,0.009176361866388007,0.09600528117906106,NEUTRAL,0.0084376829967763,0.4511771807033151,0.0007386788696117069,-0.35517189952425404,False,RESONANCE_MISMATCH
AUDUSD.m,0.70467,NEUTRAL,RANGE,0,0.0,30.0,0.2188774535147023,0.0012507470483492425,NEUTRAL,0.05258051171516381,0.20523740403936788,0.1662969417995385,-0.20398665699101864,False,LAMINAR
AUDJPY.m,112.805,NEUTRAL,RANGE,0,0.0,30.0,0.0773176385312875,0.005284605663894252,NEUTRAL,0.005043048574928303,0.34184215892504594,0.07227458995635919,-0.33655755326115167,False,LAMINAR
CHFJPY.m,201.348,NEUTRAL,RANGE,0,0.0,30.0,0.030280118217673603,0.02104350833203165,NEUTRAL,0.014067284905803785,0.3165776930152114,0.016212833311869818,-0.2955341846831797,False,LAMINAR
EURAUD.m,1.6437,SELL,RANGE,39,0.5,30.0,0.08228871263209851,0.009710923310367298,SELL,0.025854373049757254,0.22574130124770062,0.05643433958234126,-0.21603037793733332,False,LAMINAR
EURCAD.m,1.6188500000000001,NEUTRAL,RANGE,0,0.0,30.0,0.09558681421556042,0.07043811862839545,NEUTRAL,0.061921514008225764,0.20864678405944262,0.03366530020733466,-0.13820866543104715,False,LAMINAR
EURCHF.m,0.92089,NEUTRAL,TREND,0,0.0,30.0,0.03302272876444882,0.002206460652155118,NEUTRAL,0.016549336117027882,0.211193472047404,0.016473392647420936,-0.20898701139524886,False,LAMINAR
EURGBP.m,0.86343,NEUTRAL,RANGE,0,0.0,30.0,0.042154899094247446,0.029818860604579063,NEUTRAL,0.03594956659747558,0.11785649605559108,0.006205332496771868,-0.08803763545101201,False,LAMINAR
EURJPY.m,185.434,NEUTRAL,RANGE,0,0.0,30.0,0.00048245074715033866,0.05945419820037174,NEUTRAL,0.02840326300938178,0.15899866582450395,-0.027920812262231445,-0.09954446762413222,False,LAMINAR
EURUSD.m,1.15835,NEUTRAL,RANGE,0,0.0,30.0,0.13875931763153562,0.06697109355036734,NEUTRAL,0.027640621011416892,0.15691601272064137,0.11111869662011872,-0.08994491917027403,False,LAMINAR
GBPAUD.m,1.9036300000000002,NEUTRAL,RANGE,0,0.0,30.0,0.122986980777975,0.034308182286197385,NEUTRAL,0.06163011426135742,0.09978934953663775,0.06135686651661758,-0.06548116725044037,False,LAMINAR
GBPCHF.m,1.0665,NEUTRAL,RANGE,0,0.0,30.0,0.07559177050512367,0.009614594684461804,NEUTRAL,0.05133615956802919,0.03502774383625456,0.024255610937094475,-0.025413149151792755,False,LAMINAR
GBPJPY.m,214.746,NEUTRAL,RANGE,0,0.0,30.0,0.044519692170375186,0.0013813285280884885,NEUTRAL,0.06488017984745066,0.07213122885983395,-0.020360487677075476,-0.07074990033174546,False,LAMINAR
GBPUSD.m,1.34149,NEUTRAL,RANGE,0,0.0,30.0,0.09653803923363179,0.007860549941247902,NEUTRAL,0.008033174054851211,0.12907822816802295,0.08850486517878058,-0.12121767822677504,False,LAMINAR
NZDUSD.m,0.58315,NEUTRAL,RANGE,0,0.0,30.0,0.22879960775041172,0.09509538417744885,NEUTRAL,0.060047094479186346,0.07860198151911252,0.16875251327122537,0.016493402658336334,False,LAMINAR
USDCAD.m,1.39761,NEUTRAL,RANGE,0,0.0,30.0,0.042345568875572476,0.0015465320752800463,NEUTRAL,0.034900053865297403,0.23032060385461745,0.007445515010275072,-0.2287740717793374,False,LAMINAR
USDCHF.m,0.79498,NEUTRAL,RANGE,0,0.0,30.0,0.1719854719619084,0.011732661437221998,NEUTRAL,0.04307350048535896,0.23684672038342103,0.12891197147654943,-0.22511405894619904,False,LAMINAR
USDJPY.m,160.081,NEUTRAL,RANGE,0,0.0,30.0,0.14084657807229256,0.19897528542148962,NEUTRAL,0.05731590740586856,0.0032504716457695437,0.083530670666424,0.19572481377572007,False,LAMINAR
AUDCAD.m,0.98484,NEUTRAL,RANGE,0,0.0,30.0,0.17620313704514015,0.17056291679358185,NEUTRAL,0.0872305786989686,0.15406064778078576,0.08897255834617156,0.016502269012796084,False,LAMINAR
AUDCHF.m,0.5602,NEUTRAL,RANGE,0,0.0,30.0,0.04488475746367317,0.03576287602574443,NEUTRAL,0.00981392945616725,0.4613546994480797,0.03507082800750592,-0.42559182342233526,False,RESONANCE_MISMATCH
