Symbol,Close,Direction,Regime,Confidence,Dynamic_Lot,SL_Pips,Drift,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Delta_Drift,Delta_ZF_Score,Direction_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note
AUDNZD.m,1.20831,NEUTRAL,RANGE,0,0.0,30.0,0.010653723543124292,0.19820159730910733,NEUTRAL,0.0025282992896488482,0.03531180011666414,0.008125424253475445,0.16288979719244318,False,LAMINAR,NORMAL,False,STANDBY,
AUDUSD.m,0.70445,NEUTRAL,RANGE,0,0.0,30.0,0.19095437098136722,0.1767546541852186,NEUTRAL,0.18841581590752404,0.07119358343449511,0.0025385550738431795,0.10556107075072349,False,LAMINAR,NORMAL,False,STANDBY,
AUDJPY.m,112.743,NEUTRAL,RANGE,0,0.0,30.0,0.028219962406838123,0.14001242985987403,NEUTRAL,0.010004833679389254,0.06827861384362319,0.01821512872744887,0.07173381601625084,False,LAMINAR,NORMAL,False,STANDBY,
CHFJPY.m,201.199,NEUTRAL,RANGE,0,0.0,30.0,0.035799239502248975,0.11603934632313403,NEUTRAL,0.02515487490211507,0.057673898430469536,0.010644364600133904,0.0583654478926645,False,LAMINAR,NORMAL,False,STANDBY,
EURAUD.m,1.6435300000000002,SELL,RANGE,83,0.5,30.0,0.0915142850675419,0.16628045787631182,SELL,0.06655144386409771,0.01753441729054453,0.02496284120344419,0.1487460405857673,False,LAMINAR,NORMAL,True,EKSEKUSI,
EURCAD.m,1.61848,NEUTRAL,RANGE,0,0.0,30.0,0.07516720335435775,0.18791111720064899,NEUTRAL,0.10827958027953359,0.11596357510765752,-0.03311237692517584,0.07194754209299146,False,LAMINAR,NORMAL,False,STANDBY,
EURCHF.m,0.92094,NEUTRAL,TREND,0,0.0,30.0,0.028177545520232244,0.07001325520209754,NEUTRAL,0.033991772189390326,0.008566097969277956,-0.005814226669158082,0.061447157232819585,False,LAMINAR,NORMAL,False,STANDBY,
EURGBP.m,0.86318,NEUTRAL,RANGE,0,0.0,30.0,0.01629873591835554,0.12443629747136643,NEUTRAL,0.03594956659747558,0.06174289925867478,-0.01965083067912004,0.06269339821269165,False,LAMINAR,NORMAL,False,STANDBY,
EURJPY.m,185.304,NEUTRAL,RANGE,0,0.0,30.0,0.06306619057610424,0.1149636160595737,NEUTRAL,0.054881627606023234,0.02595893200920152,0.008184562970081008,0.08900468405037218,False,LAMINAR,NORMAL,False,STANDBY,
EURUSD.m,1.15785,NEUTRAL,RANGE,0,0.0,30.0,0.10017980309825296,0.05724925865530707,NEUTRAL,0.1225563576561958,0.09152569742395004,-0.022376554557942838,-0.034276438768642975,False,LAMINAR,NORMAL,False,STANDBY,
GBPAUD.m,1.904,NEUTRAL,RANGE,0,0.0,30.0,0.1056562612234063,0.2951559417694426,NEUTRAL,0.10144079001734038,0.09997010844805408,0.004215471206065913,0.1951858333213885,False,LAMINAR,NORMAL,False,STANDBY,
GBPCHF.m,1.06691,NEUTRAL,RANGE,0,0.0,30.0,0.041299768957968504,0.045275020664561294,NEUTRAL,0.06806401567344694,0.05355866861029636,-0.02676424671547844,-0.008283647945735065,False,LAMINAR,NORMAL,False,STANDBY,
