Symbol,Close,Bid,Ask,Mid_Price,Direction,Regime,Confidence,Dynamic_Lot,SL_Pips,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase
AUDNZD.m,1.20817,1.20817,1.2082600000000001,1.208215,NEUTRAL,RANGE,0,0.0,30.0,0.9000000000014552,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000005094,LAMINAR,False,0.7150000000005093,0.006708369020661152,-0.155972468130068,False,0.9999999998214067,NEUTRAL,0.010653723543124292,0.19820159730910733,,,-0.00394535452246314,0.8017984025122994,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
AUDUSD.m,0.70401,0.70401,0.70406,0.704035,NEUTRAL,RANGE,0,0.0,30.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.0854817905976746,-0.13826739192603682,False,0.9766691680011792,NEUTRAL,0.19095437098136722,0.1767546541852186,,,-0.10547258038369262,0.7999145138159606,,False,False,CRITICAL_MISMATCH,NORMAL,False,STANDBY,,ANOMALOUS
AUDJPY.m,112.754,112.754,112.763,112.7585,NEUTRAL,RANGE,0,0.0,30.0,0.9000000000000341,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.615000000000012,LAMINAR,False,0.715000000000012,0.027041922364854032,-0.07643915981349556,False,0.9999812330665552,NEUTRAL,0.028219962406838123,0.14001242985987403,,,-0.0011780400419840915,0.8599688032066811,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
CHFJPY.m,201.295,201.295,201.31,201.3025,NEUTRAL,RANGE,0,0.0,30.0,1.500000000001478,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000005173,STRESSED,False,0.9250000000005173,0.006481741425699558,0.3179216754536661,True,0.9999999864217369,NEUTRAL,0.035799239502248975,0.11603934632313403,,,-0.029317498076549417,0.8839606400986029,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
EURAUD.m,1.6442700000000001,1.6442700000000001,1.64436,1.6443150000000002,SELL,RANGE,83,0.0,30.0,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.0372622265419228,0.42276141146791557,False,0.9990027739819124,SELL,0.0915142850675419,0.16628045787631182,,,-0.0542520585256191,0.8327223161056005,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
EURCAD.m,1.61866,1.61866,1.6187399999999998,1.6187,NEUTRAL,RANGE,0,0.0,30.0,0.7999999999985795,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5799999999995028,LAMINAR,False,0.6799999999995028,0.04155170745621456,0.22234173805371912,True,0.20041725856829976,NEUTRAL,0.07516720335435775,0.18791111720064899,,,-0.033615495898143194,0.01250614136765077,,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
EURCHF.m,0.92105,0.92105,0.9211,0.9210750000000001,NEUTRAL,TREND,0,0.0,30.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.01385298606819518,0.07236045489181306,True,0.9999922880665855,NEUTRAL,0.028177545520232244,0.07001325520209754,,,-0.014324559452037065,0.9299790328644879,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
EURGBP.m,0.86321,0.86321,0.86326,0.863235,NEUTRAL,RANGE,0,0.0,30.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.0023805301156518592,0.14018184985974216,False,0.9999999543286616,NEUTRAL,0.01629873591835554,0.12443629747136643,,,-0.01391820580270368,0.8755636568572952,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
EURJPY.m,185.407,185.407,185.416,185.4115,NEUTRAL,RANGE,0,0.0,30.0,0.899999999998613,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999995146,LAMINAR,False,0.7149999999995146,0.00817180317595776,0.3451675910460536,True,0.99999997705233,NEUTRAL,0.06306619057610424,0.1149636160595737,,,-0.05489438740014648,0.8850363609927563,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
EURUSD.m,1.15765,1.15765,1.15767,1.15766,NEUTRAL,RANGE,0,0.0,30.0,0.19999999999908977,0.17,0.0,0.0,0.0,0.0,False,,0.0,0.3699999999996814,LAMINAR,False,0.46999999999968145,0.050482969278575894,0.16488996276291676,True,0.997238589391605,NEUTRAL,0.10017980309825296,0.05724925865530707,,,-0.049696833819677065,0.939989330736298,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
