Symbol,Close,Bid,Ask,Mid_Price,Direction,Regime,Confidence,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase
AUDNZD.m,1.20832,1.20832,1.20839,1.208355,NEUTRAL,RANGE,0,0.0,8.7,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.0012971345866321592,-0.13553888645837256,True,0.4967965244206751,NEUTRAL,0.005702834863639925,0.6482241691084616,0.7149999999997322,LAMINAR,-0.004405700277007766,-0.15142764468778647,-0.06999999999968154,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
AUDUSD.m,0.70412,0.70412,0.70416,0.70414,NEUTRAL,RANGE,0,0.0,11.4,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.40000000000040004,0.35,0.0,0.0,0.0,0.0,False,,0.0,0.44000000000014,LAMINAR,False,0.54000000000014,0.09546110564918442,-0.12446228576797766,False,0.297557895800854,NEUTRAL,0.1052258449382764,0.4239199215149359,0.5399999999997513,LAMINAR,-0.009764739289091981,-0.1263620257140819,3.886890809212673e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
AUDJPY.m,112.73,112.73,112.738,112.73400000000001,NEUTRAL,RANGE,0,0.0,14.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7999999999995566,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5799999999998449,LAMINAR,False,0.6799999999998448,0.013872448819270434,-0.08165262477066505,False,0.38472694884925956,NEUTRAL,0.021765647149632614,0.5027450994108761,0.645000000000175,LAMINAR,-0.007893198330362181,-0.11801815056161652,0.03499999999966985,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
CHFJPY.m,201.196,201.196,201.213,201.2045,NEUTRAL,RANGE,0,0.0,14.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.6999999999995907,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8949999999998568,STRESSED,False,0.9949999999998568,0.024404778534380573,0.31124852569504935,True,0.3820562864899998,NEUTRAL,0.02286456729331353,0.4746637889299797,0.855000000000183,STRESSED,0.0015402112410670445,-0.0926075024399799,0.13999999999967383,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED
EURAUD.m,1.6444800000000002,1.6444800000000002,1.64453,1.644505,SELL,RANGE,83,0.89,16.9,DATA_DRIVEN,21.4,DATA_DRIVEN,1.26,0.4999999999988347,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.47499999999959214,LAMINAR,False,0.5749999999995922,0.02891882241300203,0.34478041065240594,False,0.37265973066437413,SELL,0.03888857139942438,0.4773097903352861,0.6099999999998214,LAMINAR,-0.00996974898642235,-0.10465005967091195,-0.03500000000022918,False,False,LAMINAR,NORMAL,True,EKSEKUSI,,LAMINAR
EURCAD.m,1.6189200000000001,1.6189200000000001,1.619,1.61896,NEUTRAL,RANGE,0,0.0,9.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7999999999985795,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5799999999995028,LAMINAR,False,0.6799999999995028,0.05158950231243117,0.2291674385559414,True,0.37445852046599104,NEUTRAL,0.05429177877880412,0.5270144481301979,0.6799999999995028,LAMINAR,-0.0027022764663729507,-0.1525559276642069,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
EURCHF.m,0.92138,0.92138,0.92143,0.921405,NEUTRAL,TREND,0,0.0,6.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.008530258722553547,0.08523082064649315,True,0.4255709117438225,NEUTRAL,0.006495666864577632,0.5680543401670488,0.5749999999999807,LAMINAR,0.002034591857975915,-0.1424834284232263,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
EURGBP.m,0.86312,0.86312,0.86317,0.863145,NEUTRAL,RANGE,0,0.0,5.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.004134581893972106,0.1364356604542085,False,0.34723826039405287,NEUTRAL,0.006856578803109108,0.46024859596440176,0.54000000000014,LAMINAR,-0.0027219969091370018,-0.1130103355703489,0.034999999999840714,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
EURJPY.m,185.387,185.387,185.393,185.39,NEUTRAL,RANGE,0,0.0,12.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.6000000000000227,0.53,0.0,0.0,0.0,0.0,False,,0.0,0.510000000000008,LAMINAR,False,0.610000000000008,0.014669482236281079,0.29051505988262694,True,0.3297650652109688,NEUTRAL,0.01592324436323055,0.45756343131778376,0.7150000000005093,LAMINAR,-0.0012537621269494703,-0.12779836610681494,-0.10500000000050136,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
EURUSD.m,1.15796,1.15796,1.15797,1.157965,NEUTRAL,RANGE,0,0.0,11.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.09999999999843466,0.09,0.0,0.0,0.0,0.0,False,,0.0,0.3349999999994521,LAMINAR,False,0.43499999999945216,0.0673468075254841,0.15994669262000663,True,0.2635758548573388,NEUTRAL,0.06721709500192745,0.39667297287093994,0.46999999999968145,LAMINAR,0.00012971252355664653,-0.13309711801360113,-0.03500000000022929,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
GBPAUD.m,1.9051900000000002,1.9051900000000002,1.9052799999999999,1.905235,NEUTRAL,RANGE,0,0.0,18.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8999999999970143,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.614999999998955,LAMINAR,False,0.714999999998955,0.026057800123662395,0.2560010991382042,False,0.3771355959588923,NEUTRAL,0.03252491455679895,0.4995209935667382,0.8200000000004198,LAMINAR,-0.006467114433136554,-0.12238539760784589,-0.10500000000146481,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
GBPCHF.m,1.06746,1.06746,1.06752,1.06749,NEUTRAL,RANGE,0,0.0,6.2,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.011771069215279437,-0.05377881099728117,False,0.43444992348837086,NEUTRAL,0.012801282199280978,0.5730085849298027,0.6450000000000506,LAMINAR,-0.0010302129840015408,-0.1385586614414318,-0.03500000000022929,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
GBPJPY.m,214.775,214.775,214.794,214.7845,NEUTRAL,RANGE,0,0.0,15.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.9000000000005457,1.66,0.0,0.0,0.0,0.0,False,,0.0,0.965000000000191,STRESSED,False,1.0650000000001911,0.012097921417581339,0.2564083804736372,True,0.4167506783497815,NEUTRAL,0.010492082166335712,0.5361630485771738,1.1,STRESSED,0.0016058392512456263,-0.11941237022739226,-0.03499999999980896,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED
GBPUSD.m,1.34152,1.34152,1.34158,1.34155,NEUTRAL,RANGE,0,0.0,14.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.06987150650203605,0.07856152120722369,True,0.24688174722679976,NEUTRAL,0.07337473198110112,0.36217214688365434,0.6799999999995028,LAMINAR,-0.003503225479065064,-0.11529039965685459,-0.06999999999968143,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
