Symbol,Close,Bid,Ask,Mid_Price,Direction,Regime,Confidence,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals
AUDNZD.m,1.20806,1.20806,1.20815,1.208105,NEUTRAL,RANGE,0,0.0,8.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9000000000014552,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000005094,LAMINAR,False,0.7150000000005093,0.006793401303081807,-0.06502747631040223,True,0.36455705969490837,NEUTRAL,0.0012971345866321592,0.4967965244206751,0.6450000000000506,LAMINAR,0.0054962667164496475,-0.13223946472576675,0.0700000000004587,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
AUDUSD.m,0.70496,0.70496,0.70501,0.704985,NEUTRAL,RANGE,0,0.0,11.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.15331994865794596,-0.23158292274358486,True,0.23032891070911726,NEUTRAL,0.09546110564918442,0.297557895800854,0.54000000000014,LAMINAR,0.05785884300876154,-0.06722898509173675,0.034999999999840714,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
AUDJPY.m,112.796,112.796,112.805,112.8005,NEUTRAL,RANGE,0,0.0,14.7,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9000000000000341,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.615000000000012,LAMINAR,False,0.715000000000012,0.05322703795839896,-0.19027737467776645,True,0.2290131159260899,NEUTRAL,0.013872448819270434,0.38472694884925956,0.6799999999998448,LAMINAR,0.03935458913912853,-0.15571383292316968,0.03500000000016712,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,TRADEABLE,0.112,49.49,839,,0
CHFJPY.m,201.168,201.168,201.189,201.17849999999999,NEUTRAL,RANGE,0,0.0,14.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,2.0999999999986585,1.84,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.026378268481284512,0.14081858849907647,True,0.3420540470486804,NEUTRAL,0.024404778534380573,0.3820562864899998,0.9949999999998568,STRESSED,0.001973489946903939,-0.040002239441319365,0.10500000000014331,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,UNVALIDATED,,,0,,0
EURAUD.m,1.64302,1.64302,1.6431200000000001,1.64307,SELL,RANGE,83,0.86,17.5,DATA_DRIVEN,22.1,DATA_DRIVEN,1.26,1.0000000000021103,0.88,0.0,0.0,0.0,0.0,False,,0.0,0.6500000000007387,LAMINAR,False,0.7500000000007386,0.08105312889243635,0.42114001258127964,True,0.28334348670641585,SELL,0.02891882241300203,0.37265973066437413,0.5749999999995922,LAMINAR,0.05213430647943432,-0.08931624395795829,0.17500000000114646,False,False,LAMINAR,NORMAL,True,EKSEKUSI,,LAMINAR,TRADEABLE,0.0365,45.45,818,,0
EURCAD.m,1.61945,1.61945,1.61954,1.6194950000000001,NEUTRAL,RANGE,0,0.0,9.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.05440320391208144,0.20034486133601687,True,0.22941980392745992,NEUTRAL,0.05158950231243117,0.37445852046599104,0.6799999999995028,LAMINAR,0.0028137015996502757,-0.14503871653853112,0.0350000000002294,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURCHF.m,0.92125,0.92125,0.92131,0.92128,NEUTRAL,TREND,0,0.0,7.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.0008909093769908841,0.09287467523536957,False,0.2740068851537919,NEUTRAL,0.008530258722553547,0.4255709117438225,0.5749999999999807,LAMINAR,-0.007639349345562663,-0.1515640265900306,0.0349999999998406,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURGBP.m,0.86307,0.86307,0.86313,0.8631,SELL,RANGE,83,2.5,6.0,DATA_DRIVEN,7.5,DATA_DRIVEN,1.25,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.012547146040620773,0.15960905707642248,True,0.23921184416599764,NEUTRAL,0.004134581893972106,0.34723826039405287,0.5749999999999807,LAMINAR,0.008412564146648666,-0.10802641622805523,0.0349999999998406,True,False,RESONANCE_MISMATCH,NORMAL,True,EKSEKUSI,,ANOMALOUS,TRADEABLE,0.046,46.3,813,,0
EURJPY.m,185.336,185.336,185.343,185.3395,NEUTRAL,RANGE,0,0.0,12.4,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.699999999997658,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5449999999991803,LAMINAR,False,0.6449999999991802,0.025331983866677763,0.1887510535079651,True,0.2035111569214838,NEUTRAL,0.014669482236281079,0.3297650652109688,0.610000000000008,LAMINAR,0.010662501630396684,-0.12625390828948502,0.03499999999917225,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURUSD.m,1.15833,1.15833,1.15836,1.1583450000000002,NEUTRAL,RANGE,0,0.0,11.4,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.29999999999974486,0.26,0.0,0.0,0.0,0.0,False,,0.0,0.40499999999991065,LAMINAR,False,0.5049999999999106,0.07431195519189104,0.07899231651568976,True,0.13298683985556145,NEUTRAL,0.0673468075254841,0.2635758548573388,0.43499999999945216,LAMINAR,0.006965147666406948,-0.13058901500177736,0.07000000000045847,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
GBPAUD.m,1.90361,1.90361,1.90374,1.903675,NEUTRAL,RANGE,0,0.0,19.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.2999999999996346,1.14,0.0,0.0,0.0,0.0,False,,0.0,0.754999999999872,STRESSED,False,0.854999999999872,0.0699639565025541,0.25205750548692224,True,0.3396822397564675,NEUTRAL,0.026057800123662395,0.3771355959588923,0.714999999998955,LAMINAR,0.04390615637889171,-0.03745335620242479,0.14000000000091695,False,True,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,UNVALIDATED,,,0,,0
GBPCHF.m,1.06734,1.06734,1.06744,1.06739,NEUTRAL,RANGE,0,0.0,8.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9999999999998899,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999999615,LAMINAR,False,0.7499999999999615,0.00816045818935788,-0.08426485661309507,True,0.38530224294894255,NEUTRAL,0.011771069215279437,0.43444992348837086,0.6099999999998214,LAMINAR,-0.0036106110259215562,-0.04914768053942831,0.14000000000014012,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
GBPJPY.m,214.726,214.726,214.745,214.7355,NEUTRAL,RANGE,0,0.0,15.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.9000000000005457,1.66,0.0,0.0,0.0,0.0,False,,0.0,0.965000000000191,STRESSED,False,1.0650000000001911,0.015252209147958605,0.03323216050911574,True,0.3778839988062649,NEUTRAL,0.012097921417581339,0.4167506783497815,1.0650000000001911,STRESSED,0.003154287730377266,-0.038866679543516636,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,UNVALIDATED,,,0,,0
GBPUSD.m,1.34203,1.34203,1.3421,1.342065,NEUTRAL,RANGE,0,0.0,14.4,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.08531726626517523,-0.06895857102158814,True,0.22422465431248068,NEUTRAL,0.06987150650203605,0.24688174722679976,0.6099999999998214,LAMINAR,0.01544575976313918,-0.022657092914319082,0.03500000000022929,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
NZDUSD.m,0.58352,0.58352,0.58357,0.583545,NEUTRAL,RANGE,0,0.0,10.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.15902307789525394,-0.17993606429306153,True,0.2135215127833434,NEUTRAL,0.09335196000078523,0.3474059768208959,0.5749999999999807,LAMINAR,0.06567111789446871,-0.13388446403755253,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
USDCAD.m,1.39815,1.39815,1.39824,1.3981949999999999,NEUTRAL,RANGE,0,0.0,9.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.019926152807216845,0.08614865663196825,True,0.29788885956835,NEUTRAL,0.015667606096375748,0.4663084260486583,0.7499999999999615,LAMINAR,0.004258546710841096,-0.1684195664803083,-0.03500000000022929,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
USDCHF.m,0.79529,0.79529,0.79538,0.795335,NEUTRAL,RANGE,0,0.0,8.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.07783426514921327,-5.873671197265812e-05,True,0.22474665697418544,NEUTRAL,0.05909363338276567,0.37175473774992357,0.6449999999996621,LAMINAR,0.018740631766447594,-0.14700808077573813,0.07000000000007012,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
USDJPY.m,160.002,160.002,160.007,160.0045,NEUTRAL,RANGE,0,0.0,17.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999954525,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999998408,LAMINAR,False,0.5749999999998409,0.10025570836274436,0.08273273316154489,True,0.19228447161167306,NEUTRAL,0.08177722072680042,0.1700654761719777,0.610000000000008,LAMINAR,0.018478487635943938,0.022218995439695355,-0.03500000000016712,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
AUDCAD.m,0.98563,0.98563,0.9857,0.985665,NEUTRAL,RANGE,0,0.0,14.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.1344572834060757,-0.18140169938762912,True,0.33015046545851245,NEUTRAL,0.08098769472467367,0.3491858674597169,0.6099999999998214,LAMINAR,0.053469588681402044,-0.01903540200120446,0.03500000000022929,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,TRADEABLE,0.0511,46.35,752,,0
AUDCHF.m,0.56066,0.56066,0.56074,0.5607,NEUTRAL,RANGE,0,0.0,7.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7999999999996897,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5799999999998914,LAMINAR,False,0.6799999999998914,0.07603651525586234,-0.2836313394838861,False,0.24602291117879627,NEUTRAL,0.03752569832974721,0.39732606653890434,0.5749999999999807,LAMINAR,0.03851081692611513,-0.15130315536010808,0.10499999999991061,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURNZD.m,1.98495,1.98495,1.98506,1.9850050000000001,NEUTRAL,RANGE,0,0.0,20.4,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.1000000000005448,0.96,0.0,0.0,0.0,0.0,False,,0.0,0.6850000000001906,LAMINAR,False,0.7850000000001905,0.08615429257729627,0.3710370837773348,True,0.2363128717445787,NEUTRAL,0.02764523150138184,0.4172108225346453,0.7150000000005093,LAMINAR,0.05850906107591443,-0.1808979507900666,0.0699999999996812,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
GBPCAD.m,1.87635,1.87635,1.87643,1.87639,NEUTRAL,RANGE,0,0.0,13.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8000000000008001,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5800000000002801,LAMINAR,False,0.68000000000028,0.0660959305309765,0.011258127460077955,True,0.28528041119989256,NEUTRAL,0.054867939187717374,0.3504570003510582,0.68000000000028,LAMINAR,0.011227991343259122,-0.06517658915116564,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
GBPNZD.m,2.29977,2.29977,2.29993,2.29985,NEUTRAL,RANGE,0,0.0,22.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.599999999997159,1.4,0.0,0.0,0.0,0.0,False,,0.0,0.8599999999990056,STRESSED,False,0.9599999999990055,0.07497133263164375,0.19825629734964045,True,0.30254644872909736,NEUTRAL,0.024583580749760425,0.436121611963069,0.9250000000003306,STRESSED,0.050387751881883325,-0.13357516323397162,0.03499999999867498,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,UNVALIDATED,,,0,,0
NZDCAD.m,0.81584,0.81584,0.81591,0.815875,NEUTRAL,TREND,0,0.0,15.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.14022507461391043,-0.12560965641474195,True,0.2775283881179833,NEUTRAL,0.07901738760696508,0.373949728603336,0.6450000000000506,LAMINAR,0.061207687006945344,-0.09642134048535267,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
NZDCHF.m,0.46408,0.46408,0.46415,0.464115,NEUTRAL,RANGE,0,0.0,6.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.08270358544883154,-0.21079675770783424,False,0.27367815949664986,NEUTRAL,0.035187290254935534,0.4162169893599179,0.6100000000000156,LAMINAR,0.047516295193896003,-0.14253882986326805,0.035000000000035,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,TRADEABLE,0.0376,45.6,777,,0
NZDJPY.m,93.365,93.365,93.374,93.36949999999999,NEUTRAL,RANGE,0,0.0,11.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9000000000000341,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.615000000000012,LAMINAR,False,0.715000000000012,0.05903208311029059,-0.12410898836904916,True,0.2748960748582638,NEUTRAL,0.012372531348805232,0.3982696308167453,0.715000000000012,LAMINAR,0.046659551761485354,-0.12337355595848154,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
