Symbol,Close,Bid,Ask,Mid_Price,Direction,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals
AUDNZD.m,1.2093099999999999,1.2093099999999999,1.20938,1.209345,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,17.7,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.008280889537319086,0.2581447718368838,True,0.6827145954929721,NEUTRAL,0.004898313781227717,0.7100467585293473,0.7149999999997322,LAMINAR,0.0033825757560913697,-0.0273321630363752,-0.06999999999968154,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
AUDUSD.m,0.70731,0.70731,0.70735,0.70733,NEUTRAL,TREND,0,DEFAULT,60,3.0,2.0,0.0,15.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.40000000000040004,0.35,0.0,0.0,0.0,0.0,False,,0.0,0.44000000000014,LAMINAR,False,0.54000000000014,0.07163741106765943,0.1922038084545264,False,0.5602258994375096,NEUTRAL,0.09126314948978392,0.5453184713948083,0.5749999999999807,LAMINAR,-0.019625738422124492,0.014907428042701287,-0.034999999999840714,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
AUDJPY.m,113.314,113.314,113.325,113.3195,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,17.4,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.100000000000989,0.96,0.0,0.0,0.0,0.0,False,,0.0,0.6850000000003462,LAMINAR,False,0.7850000000003462,0.005223008641024763,0.5479936487333804,False,0.6973255219734391,NEUTRAL,0.00656048586830606,0.6907586598720419,0.7849999999998488,LAMINAR,-0.0013374772272812972,0.006566862101397231,4.973799150320701e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,TRADEABLE,0.112,49.49,839,,0
CHFJPY.m,201.597,201.597,201.625,201.611,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,23.2,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,2.7999999999991587,2.45,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.015337717329312833,0.7400776129753983,False,0.71321822706343,NEUTRAL,0.0016665396725092515,0.7413887115016626,1.0650000000001911,STRESSED,0.013671177656803582,-0.028170484438232668,0.03499999999980896,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,UNVALIDATED,,,0,,0
EURAUD.m,1.63968,1.63968,1.6397300000000001,1.6397050000000002,NEUTRAL,RANGE,0,LEARNING,60,3.0,2.0,0.0,20.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.5000000000010552,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4750000000003693,LAMINAR,False,0.5750000000003693,0.00016305868969759135,-0.0681206465062861,False,0.6745394990689417,NEUTRAL,0.01603508040717302,0.641727740951296,0.6450000000000506,LAMINAR,-0.01587202171747543,0.032811758117645695,-0.06999999999968132,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,TRADEABLE,0.0365,45.45,818,-1.0,1
EURCAD.m,1.6205,1.6205,1.62056,1.62053,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,12.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.02735199229585582,0.0035960288945862257,True,0.6106437590028844,NEUTRAL,0.03331760983754566,0.5857836108277723,0.5749999999995922,LAMINAR,-0.005965617541689842,0.024860148175112062,0.03500000000022918,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURCHF.m,0.92159,0.92159,0.92168,0.921635,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,7.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.900000000000345,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000001208,LAMINAR,False,0.7150000000001208,0.018014441997267552,-0.07515787274786441,True,0.5989409845579372,NEUTRAL,0.012121332903461915,0.6146932117547621,0.5749999999999807,LAMINAR,0.005893109093805637,-0.015752227196824897,0.14000000000014,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURGBP.m,0.86306,0.86306,0.86313,0.863095,NEUTRAL,RANGE,0,LEARNING,60,3.0,2.0,0.0,6.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.6999999999990346,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5449999999996621,LAMINAR,False,0.6449999999996621,0.01417704852286939,-0.03810081874647832,True,0.6274095088977416,NEUTRAL,0.005642765324671595,0.6518208952468898,0.5749999999999807,LAMINAR,0.008534283198197795,-0.02441138634914819,0.06999999999968132,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,TRADEABLE,0.046,46.3,813,1.25,1
EURJPY.m,185.806,185.806,185.816,185.811,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,17.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9999999999990905,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999996817,LAMINAR,False,0.7499999999996817,0.00788292218491105,0.39416876820216484,True,0.6742195816613739,NEUTRAL,0.008019703485963701,0.6811093928908769,0.7849999999998488,LAMINAR,-0.00013678130105265057,-0.006889811229503051,-0.03500000000016712,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURUSD.m,1.15981,1.15981,1.15982,1.159815,NEUTRAL,TREND,0,DEFAULT,60,3.0,2.0,0.0,14.2,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.10000000000065512,0.09,0.0,0.0,0.0,0.0,False,,0.0,0.3350000000002293,LAMINAR,False,0.4350000000002293,0.06788102993916036,0.07595502679822118,False,0.5336161573465144,NEUTRAL,0.07466486105394543,0.5453624321285286,0.4350000000002293,LAMINAR,-0.006783831114785074,-0.011746274782014288,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
