Symbol,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals
AUDNZD.m,1.2104,1.2104,1.21049,1.210445,NEUTRAL,NEUTRAL,NEUTRAL,0.6371,0.5751,0.0002857142857143037,RANGE,0,DEFAULT,60,3.0,2.0,0.0,17.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9000000000014552,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000005094,LAMINAR,False,0.7150000000005093,0.023585845612649117,0.2637404098534673,True,0.6419917981279406,NEUTRAL,0.00766639568514148,0.7025903636515403,0.7150000000005093,LAMINAR,0.015919449927507635,-0.06059856552359966,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0447,41.37,750,,0
AUDUSD.m,0.70832,0.70832,0.70836,0.70834,NEUTRAL,NEUTRAL,NEUTRAL,0.3432,0.3908,0.00022257142857142314,TREND,0,DEFAULT,60,3.0,2.0,0.0,16.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.40000000000040004,0.35,0.0,0.0,0.0,0.0,False,,0.0,0.44000000000014,LAMINAR,False,0.54000000000014,0.03120535935169052,0.35141640859301804,False,0.6101671230017613,NEUTRAL,0.03202262457907942,0.6178642005315165,0.5749999999999807,LAMINAR,-0.0008172652273889039,-0.007697077529755125,-0.034999999999840714,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0318,41.72,826,,0
AUDJPY.m,113.381,113.381,113.389,113.38499999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.5963,0.5607,0.018628571428567726,RANGE,0,DEFAULT,60,3.0,2.0,0.0,17.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7999999999995566,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5799999999998449,LAMINAR,False,0.6799999999998448,0.004570906861439535,0.5137478486025658,False,0.6717510161654019,NEUTRAL,0.0231978009320886,0.6712246123451739,0.8900000000003501,STRESSED,-0.018626894070649064,0.0005264038202279497,-0.21000000000050523,False,True,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1164,49.71,840,,0
CHFJPY.m,201.625,201.625,201.644,201.6345,NEUTRAL,NEUTRAL,NEUTRAL,0.7025,0.6112,0.007485714285721841,RANGE,0,DEFAULT,60,3.0,2.0,0.0,22.4,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.9000000000005457,1.66,0.0,0.0,0.0,0.0,False,,0.0,0.965000000000191,STRESSED,False,1.0650000000001911,0.030515339152422473,0.7086230075773401,True,0.6309217708978943,NEUTRAL,0.02790075550783115,0.6808938577587125,1.1,VOID,0.0026145836445913215,-0.04997208686081822,-0.03499999999980896,False,True,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",AVOID,-0.1405,36.11,838,,0
EURAUD.m,1.6380599999999998,1.6380599999999998,1.63812,1.63809,NEUTRAL,NEUTRAL,NEUTRAL,0.2661,0.3312,-0.0003651428571430576,RANGE,0,LEARNING,60,3.0,2.0,0.0,21.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.6000000000017102,0.53,0.0,0.0,0.0,0.0,False,,0.0,0.5100000000005985,LAMINAR,False,0.6100000000005985,0.04325227856350576,-0.1667696713698718,False,0.5667901188151534,NEUTRAL,0.01056142682608977,0.6520989568512228,0.6450000000000506,LAMINAR,0.03269085173741599,-0.08530883803606937,-0.034999999999452136,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0397,45.62,818,-1.0,1
EURCAD.m,1.62032,1.62032,1.62042,1.6203699999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.3729,0.4253,-5.714285714318794e-06,RANGE,0,DEFAULT,60,3.0,2.0,0.0,12.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9999999999998899,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999999615,LAMINAR,False,0.7499999999999615,0.019773121908788938,0.14019340893612517,True,0.6639431142046714,NEUTRAL,0.02672348315951264,0.6262871269958974,0.68000000000028,LAMINAR,-0.006950361250723701,0.037655987208774055,0.06999999999968143,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.1581,34.83,757,,0
EURCHF.m,0.92112,0.92112,0.92117,0.9211450000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.6422,0.5748,-8.828571428577078e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.0,6.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.00843378341822404,-0.1094136464847293,True,0.6298394969772347,NEUTRAL,0.004725774384339926,0.659186017266709,0.5749999999999807,LAMINAR,0.003708009033884115,-0.029346520289474265,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0096,43.14,801,,0
EURGBP.m,0.863,0.863,0.86307,0.863035,NEUTRAL,NEUTRAL,NEUTRAL,0.0679,0.2469,2.5714285714268594e-05,RANGE,0,LEARNING,60,3.0,2.0,0.0,6.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.004765527839656601,-0.016286454508516995,False,0.6804123242890558,NEUTRAL,0.014234363041814078,0.6187555063614636,0.5749999999999807,LAMINAR,-0.009468835202157477,0.061656817927592256,0.0700000000000699,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0461,46.3,813,1.25,1
EURJPY.m,185.731,185.731,185.741,185.736,NEUTRAL,NEUTRAL,NEUTRAL,0.5266,0.4921,-0.010771428571428937,RANGE,0,DEFAULT,60,3.0,2.0,0.0,16.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.0000000000019327,0.88,0.0,0.0,0.0,0.0,False,,0.0,0.6500000000006765,LAMINAR,False,0.7500000000006765,0.03339054247178092,0.3356397495036557,True,0.5869611612683221,NEUTRAL,0.02572728444871844,0.5971378311345031,0.6800000000003422,LAMINAR,0.007663258023062482,-0.010176669866181043,0.07000000000033424,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.0078,43.87,772,,0
EURUSD.m,1.16032,1.16032,1.16034,1.16033,NEUTRAL,NEUTRAL,NEUTRAL,0.2759,0.358,0.00010771428571433117,TREND,0,DEFAULT,60,3.0,2.0,0.0,14.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.19999999999908977,0.17,0.0,0.0,0.0,0.0,False,,0.0,0.3699999999996814,LAMINAR,False,0.46999999999968145,0.005371113742285579,0.16037253546141775,True,0.6390801468737264,NEUTRAL,0.047293507486325846,0.43313678017439244,0.43499999999945216,LAMINAR,-0.04192239374404027,0.20594336669933394,0.03500000000022929,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0451,41.05,802,,0
