Symbol,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
AUDNZD.m,1.21044,1.21044,1.21055,1.2104949999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.358,0.4293,-3.342857142855642e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,8.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.1000000000005448,0.96,0.0,0.0,0.0,0.0,False,,0.0,0.6850000000001906,LAMINAR,False,0.7850000000001905,0.01128565616774126,0.19774519342202937,True,0.7093796665535516,NEUTRAL,0.004422159883480673,0.2910364299303699,0.7500000000007386,LAMINAR,0.006863496284260587,0.4183432366231817,0.034999999999451914,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",AVOID,-0.0447,41.37,750,,0,LONDON_NY_OVERLAP,20.58,NEUTRAL,Belum ada arah BUY/SELL matang.,23.545898332767756
AUDUSD.m,0.70751,0.70751,0.70756,0.707535,NEUTRAL,NEUTRAL,NEUTRAL,0.8459,0.6918,0.00012199999999997257,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,7.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.04609198325238786,-0.3919727683489858,False,0.5809197146331534,NEUTRAL,0.05926031699996124,0.10505294892336323,0.54000000000014,LAMINAR,-0.013168333747573382,0.47586676570979014,0.034999999999840714,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",AVOID,-0.0318,41.72,826,,0,LONDON_NY_OVERLAP,33.86,NEUTRAL,Belum ada arah BUY/SELL matang.,38.14519857316577
AUDJPY.m,113.275,113.275,113.284,113.27950000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.5769,0.5444,0.00811428571428282,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,9.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9000000000000341,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.615000000000012,LAMINAR,False,0.715000000000012,0.02511037467189211,-0.16548671779270982,False,0.6424338755694303,NEUTRAL,0.039357102721964424,0.14266818668211675,0.645000000000175,LAMINAR,-0.014246728050072315,0.49976568888731354,0.06999999999983697,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",TRADEABLE,0.1164,49.71,840,,0,LONDON_NY_OVERLAP,29.95,NEUTRAL,Belum ada arah BUY/SELL matang.,33.823069377847155
CHFJPY.m,202.063,202.063,202.083,202.07299999999998,NEUTRAL,NEUTRAL,NEUTRAL,0.072,0.2607,0.040142857142848716,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,16.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,2.000000000001023,1.75,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.019339638182725164,0.2744032728313592,False,0.7069409730374407,NEUTRAL,0.029860253094489544,0.2293525497172345,1.030000000000024,STRESSED,-0.01052061491176438,0.47758842332020623,0.06999999999997608,False,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",AVOID,-0.1405,36.11,838,,0,LONDON_NY_OVERLAP,5.32,NEUTRAL,Belum ada arah BUY/SELL matang.,9.377504865187204
EURAUD.m,1.6417199999999998,1.6417199999999998,1.64184,1.6417799999999998,NEUTRAL,NEUTRAL,NEUTRAL,0.765,0.6533,1.2857142857181946e-05,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,10.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.2000000000011999,1.05,0.0,0.0,0.0,0.0,False,,0.0,0.7200000000004199,LAMINAR,False,0.8200000000004198,0.026791967807418576,0.3763087686222818,True,0.6310250874690635,NEUTRAL,0.02266444576026496,0.1709056691110864,0.6450000000000506,LAMINAR,0.004127522047153616,0.4601194183579771,0.1750000000003692,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",TRADEABLE,0.0397,45.62,818,-1.0,1,LONDON_NY_OVERLAP,23.75,NEUTRAL,Belum ada arah BUY/SELL matang.,32.42482543734532
EURCAD.m,1.62357,1.62357,1.62365,1.62361,NEUTRAL,NEUTRAL,NEUTRAL,0.2686,0.3548,0.00022199999999991503,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,9.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8000000000008001,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5800000000002801,LAMINAR,False,0.68000000000028,0.019036820081030796,-0.017006862982403385,True,0.6330684087061035,NEUTRAL,0.026698876351390115,0.20150493879508036,0.7150000000005093,LAMINAR,-0.007662056270359319,0.4315634699110231,-0.03500000000022929,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",AVOID,-0.1581,34.83,757,,0,LONDON_NY_OVERLAP,17.93,NEUTRAL,Belum ada arah BUY/SELL matang.,18.84604204353052
EURCHF.m,0.92033,0.92033,0.9204,0.920365,NEUTRAL,NEUTRAL,NEUTRAL,0.0951,0.235,-0.00011000000000001808,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,6.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.021260808876640124,-0.011022217401546465,True,0.5852436187872534,NEUTRAL,0.01527159046678382,0.18298618216001636,0.6450000000000506,LAMINAR,0.005989218409856304,0.402257436627237,0.0,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",AVOID,-0.0096,43.14,801,,0,LONDON_NY_OVERLAP,19.35,NEUTRAL,Belum ada arah BUY/SELL matang.,18.46471809393627
EURGBP.m,0.86435,0.86435,0.86441,0.8643799999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.0083,0.2033,-8.485714285714063e-05,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,6.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.6000000000005999,0.53,0.0,0.0,0.0,0.0,False,,0.0,0.51000000000021,LAMINAR,False,0.6100000000002099,0.049527004606739464,0.05727282093808429,True,0.6454288165776021,NEUTRAL,0.04918150307155484,0.2350045177911752,0.6100000000002099,LAMINAR,0.00034550153518462384,0.4104242987864269,0.0,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",TRADEABLE,0.0461,46.3,813,1.25,1,LONDON_NY_OVERLAP,25.45,NEUTRAL,Belum ada arah BUY/SELL matang.,21.43024408288801
EURJPY.m,185.979,185.979,185.986,185.98250000000002,NEUTRAL,NEUTRAL,NEUTRAL,0.0787,0.2576,0.015571428571419337,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,11.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.699999999997658,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5449999999991803,LAMINAR,False,0.6449999999991802,0.0013066650870607822,0.1055735873877111,True,0.6953793069269081,NEUTRAL,0.016361382903130172,0.24765447295437493,0.7150000000005093,LAMINAR,-0.01505471781606939,0.44772483397253315,-0.07000000000132911,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",WATCH_ONLY,0.0078,43.87,772,,0,LONDON_NY_OVERLAP,20.13,NEUTRAL,Belum ada arah BUY/SELL matang.,19.37959653463454
EURUSD.m,1.16162,1.16162,1.16164,1.1616300000000002,NEUTRAL,NEUTRAL,NEUTRAL,0.6933,0.5986,0.0002122857142856687,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,9.4,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.19999999999908977,0.17,0.0,0.0,0.0,0.0,False,,0.0,0.3699999999996814,LAMINAR,False,0.46999999999968145,0.02213439032204336,-0.13376105153189838,False,0.5898190677453028,NEUTRAL,0.036833934108163824,0.11690939596500304,0.4700000000004586,LAMINAR,-0.014699543786120463,0.47290967178029975,-7.771561172376096e-13,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",AVOID,-0.0451,41.05,802,,0,LONDON_NY_OVERLAP,33.37,NEUTRAL,Belum ada arah BUY/SELL matang.,35.31859533872652
