Symbol,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
AUDNZD.m,1.21418,1.21418,1.21423,1.214205,NEUTRAL,NEUTRAL,NEUTRAL,0.6036,0.427,0.00014457142857145507,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.21418,10.8,108.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.4999999999988347,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.47499999999959214,LAMINAR,False,0.5749999999995922,0.022499562450559625,0.28598506510589305,True,0.21493456874507197,NEUTRAL,0.025710580310406288,0.6073606049971063,0.6099999999998214,LAMINAR,-0.0032110178598466627,-0.3924260362520343,-0.03500000000022918,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",AVOID,-0.0447,41.37,750,,0,NEW_YORK,27.03,NEUTRAL,Belum ada arah BUY/SELL matang.,28.550772843725362
AUDUSD.m,0.70758,0.70758,0.70762,0.7076,NEUTRAL,NEUTRAL,NEUTRAL,0.3302,0.2356,-0.00010257142857147356,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.70758,7.3,73.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.40000000000040004,0.35,0.0,0.0,0.0,0.0,False,,0.0,0.44000000000014,LAMINAR,False,0.54000000000014,0.06350658583748052,-0.05260448926121778,True,0.11953256599023984,NEUTRAL,0.0495938534468467,0.5789075845333701,0.5749999999999807,LAMINAR,0.013912732390633821,-0.45937501854313023,-0.034999999999840714,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",AVOID,-0.0318,41.72,826,,0,NEW_YORK,22.66,NEUTRAL,Belum ada arah BUY/SELL matang.,21.427062829951204
AUDJPY.m,113.413,113.413,113.423,113.418,NEUTRAL,NEUTRAL,NEUTRAL,0.3576,0.2868,-0.0020285714285705496,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,113.413,10.4,104.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.0000000000005116,0.88,0.0,0.0,0.0,0.0,False,,0.0,0.6500000000001791,LAMINAR,False,0.7500000000001791,0.04172238891501706,-0.03613588063759673,False,0.23769128137180845,NEUTRAL,0.031807540461371284,0.6335779036815872,0.7500000000001791,LAMINAR,0.009914848453645778,-0.3958866223097787,0.0,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",TRADEABLE,0.1164,49.71,840,,0,NEW_YORK,22.72,NEUTRAL,Belum ada arah BUY/SELL matang.,24.314056406859045
CHFJPY.m,201.907,201.907,201.932,201.9195,NEUTRAL,NEUTRAL,NEUTRAL,0.6978,0.6,0.015428571428567264,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,201.907,15.7,157.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.4999999999977263,2.19,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.004952315134472051,-0.3098665965656212,True,0.6041338510051861,NEUTRAL,0.0007557803265649947,0.7404033723246902,1.0650000000001911,STRESSED,0.004196534807907056,-0.1362695213195041,0.03499999999980896,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,AVOID,-0.1405,36.11,838,,0,NEW_YORK,11.77,NEUTRAL,Belum ada arah BUY/SELL matang.,22.42376925502593
EURAUD.m,1.63922,1.63922,1.63931,1.639265,NEUTRAL,NEUTRAL,NEUTRAL,0.1341,0.1783,0.00017714285714278154,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,1.63922,13.6,136.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.9000000000014552,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000005094,LAMINAR,False,0.7150000000005093,0.05567224070985054,-0.12664175452766696,False,0.3190041015089994,NEUTRAL,0.040709732434531624,0.5917472324928695,0.7499999999999615,LAMINAR,0.014962508275318913,-0.27274313098387015,-0.034999999999452136,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0397,45.62,818,-1.0,1,NEW_YORK,13.02,NEUTRAL,Belum ada arah BUY/SELL matang.,14.868820507544996
EURCAD.m,1.62185,1.62185,1.62195,1.6219000000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.6901,0.5249,-0.00010171428571433354,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.62185,12.1,121.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.9999999999998899,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999999615,LAMINAR,False,0.7499999999999615,0.009123913710736377,-0.09433389074937876,False,0.36664671784250663,NEUTRAL,0.01547315592187239,0.6792452508249832,0.8199999999996427,LAMINAR,-0.006349242211136013,-0.3125985329824766,-0.0699999999996812,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.1581,34.83,757,,0,NEW_YORK,22.27,NEUTRAL,Belum ada arah BUY/SELL matang.,26.644933589212535
EURCHF.m,0.92074,0.92074,0.92082,0.9207799999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.8477,0.632,9.999999999992904e-06,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.92074,7.0,70.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.7999999999996897,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5799999999998914,LAMINAR,False,0.6799999999998914,0.006497633564764422,0.039988950741975095,True,0.4074193902775663,SELL,0.005818975904812813,0.6815069932272453,0.6799999999998914,LAMINAR,0.000678657659951609,-0.274087602949679,0.0,True,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",AVOID,-0.0096,43.14,801,,0,NEW_YORK,30.98,NEUTRAL,Belum ada arah BUY/SELL matang.,36.013696951387836
EURGBP.m,0.86399,0.86399,0.86404,0.864015,NEUTRAL,NEUTRAL,NEUTRAL,0.3933,0.2956,2.8571428569792515e-07,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,0.86399,5.6,56.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.02559744023787231,-0.03979389382410267,False,0.19745252875390423,NEUTRAL,0.01040703648754406,0.6273549124058913,0.5749999999999807,LAMINAR,0.01519040375032825,-0.429902383651987,0.0,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",TRADEABLE,0.0426,46.09,818,0.125,2,NEW_YORK,26.95,NEUTRAL,Belum ada arah BUY/SELL matang.,26.130562643769526
EURJPY.m,185.92,185.92,185.928,185.92399999999998,NEUTRAL,NEUTRAL,NEUTRAL,0.584,0.4623,0.017085714285707234,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,185.92,11.7,117.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.8000000000009777,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5800000000003422,LAMINAR,False,0.6800000000003422,0.015855764319054538,-0.12683395726974028,True,0.36925967184784064,NEUTRAL,0.00972493512412529,0.6766847267872856,0.7150000000005093,LAMINAR,0.006130829194929247,-0.307425054939445,-0.03500000000016712,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.0078,43.87,772,,0,NEW_YORK,26.42,NEUTRAL,Belum ada arah BUY/SELL matang.,29.293298359239202
EURUSD.m,1.15993,1.15993,1.15997,1.1599499999999998,NEUTRAL,NEUTRAL,NEUTRAL,0.597,0.4983,-4.4571428571491315e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.15993,9.0,90.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.40000000000040004,0.35,0.0,0.0,0.0,0.0,False,,0.0,0.44000000000014,LAMINAR,False,0.54000000000014,0.007648883821421121,-0.12641730317051905,False,0.45651311779077514,NEUTRAL,0.007519585287752844,0.6387764051541731,0.5049999999999106,LAMINAR,0.00012929853366827702,-0.18226328736339797,0.0350000000002294,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0451,41.05,802,,0,NEW_YORK,29.14,NEUTRAL,Belum ada arah BUY/SELL matang.,30.784765588953874
