Symbol,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
UKOILm,H4,ZF_DYNAMIC_SL_TP,39.95,79.367,79.343,79.378,79.3605,NEUTRAL,NEUTRAL,NEUTRAL,0.4133,0.4966,0.012857142857138603,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,79.367,139.7,1397.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,3.499999999999659,3.06,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,1.2615964261483754,-15.70128329233232,True,0.6560416752415363,NEUTRAL,1.3489387562136133,0.6529399396366942,1.1,VOID,-0.08734233006523784,0.0031017356048421707,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.9458,94.58,166,,0,LONDON_NY_OVERLAP,18.99,NEUTRAL,Belum ada arah BUY/SELL matang.,35.47030837620768
USOILm,H4,ZF_DYNAMIC_SL_TP,52.04,75.799,75.787,75.807,75.797,NEUTRAL,NEUTRAL,NEUTRAL,0.5674,0.6478,-0.028628571428569304,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,75.799,155.3,1553.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.999999999999602,1.75,0.0,0.0,0.0,0.0,False,,0.0,0.9999999999998608,STRESSED,False,1.0999999999998609,1.1409744409730864,-19.083246567942858,True,0.6912292114964732,NEUTRAL,1.1890930918937463,0.6864344636948129,1.0999999999998609,STRESSED,-0.04811865092065992,0.004794747801660337,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.9255,92.55,188,,0,LONDON_NY_OVERLAP,34.12,NEUTRAL,Belum ada arah BUY/SELL matang.,46.108546057482364
USDJPYm,H4,ZF_DYNAMIC_SL_TP,81.62,160.24,160.24,160.25,160.245,NEUTRAL,NEUTRAL,NEUTRAL,0.4629,0.4668,-0.045485714285711853,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,160.24,21.5,215.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.9999999999990905,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999996817,LAMINAR,False,0.7499999999996817,0.0536326596014124,-0.273749596389398,True,0.6031431082365366,NEUTRAL,0.032972549384749784,0.636886528903085,0.7499999999996817,LAMINAR,0.020660110216662614,-0.03374342066654834,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.9051,90.51,158,,0,LONDON_NY_OVERLAP,39.7,NEUTRAL,Belum ada arah BUY/SELL matang.,46.738715541182685
GBPJPYm,H4,ZF_DYNAMIC_SL_TP,97.13,214.95,214.95,214.972,214.961,NEUTRAL,NEUTRAL,NEUTRAL,0.2337,0.3597,-0.11271428571430901,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,214.95,39.5,395.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.200000000001978,1.93,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.08233927437174385,-0.5552869463910505,False,0.6976513612534537,NEUTRAL,0.09053414966868166,0.6890292581676561,1.1,STRESSED,-0.008194875296937812,0.008622103085797583,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8932,89.32,206,,0,LONDON_NY_OVERLAP,25.81,NEUTRAL,Belum ada arah BUY/SELL matang.,35.71415680626727
EURNZDm,H4,ZF_DYNAMIC_SL_TP,85.31,1.9946199999999998,1.9946199999999998,1.99484,1.99473,NEUTRAL,NEUTRAL,NEUTRAL,0.0337,0.2658,0.0009682857142856413,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.99462,41.7,417.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.2000000000010895,1.93,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.01626818829630379,0.4030507405180708,True,0.7929578530509869,NEUTRAL,0.014388443334968241,0.7950061768371,1.1,STRESSED,0.0018797449613355485,-0.002048323786113082,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8782,87.82,238,,0,LONDON_NY_OVERLAP,22.48,NEUTRAL,Belum ada arah BUY/SELL matang.,30.919189265254936
EURAUDm,H4,ZF_DYNAMIC_SL_TP,142.4,1.6421299999999999,1.6421299999999999,1.6423,1.642215,BUY,BUY,PROJECTED,0.5596,0.5544,-0.00021485714285709678,RANGE,53,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.64213,31.1,311.0,1.63902,DATA_DRIVEN,39.3,393.0,1.64606,DATA_DRIVEN,1.27,1.7000000000022553,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8950000000007894,STRESSED,False,0.9950000000007894,0.04918496292895998,-0.9233725982084877,True,0.7119858291328907,BUY,0.05108716529224841,0.7096307552714751,0.9950000000000122,STRESSED,-0.0019022023632884327,0.0023550738614155353,7.771561172376096e-13,False,False,LAMINAR,OPTIMIZER_LOCK,False,OPTIMIZER MENAHAN,Confidence di bawah batas self-healing optimizer.,STRESSED,Tunggu. Confidence belum cukup menurut optimizer.,TRADEABLE,0.8395,83.95,162,,0,LONDON_NY_OVERLAP,50.13,WATCH,quality 50.1 < 62 | maturity proyeksi 0.56 < 0.62,63.057029145664465
CADJPYm,H4,ZF_DYNAMIC_SL_TP,144.14,114.375,114.375,114.392,114.3835,NEUTRAL,BUY,NEUTRAL,0.6447,0.5968,-0.054028571428571384,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,114.375,19.7,197.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.6999999999995907,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8949999999998568,STRESSED,False,0.9949999999998568,0.08173809526923775,-0.9532977363950628,True,0.6486967712557932,NEUTRAL,0.038604443913786146,0.7071064610122333,0.9950000000003542,STRESSED,0.04313365135545161,-0.05840968975644012,-4.973799150320701e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8125,81.25,176,,0,LONDON_NY_OVERLAP,35.5,NEUTRAL,Belum ada arah BUY/SELL matang.,46.08368385627897
GBPCADm,H4,ZF_DYNAMIC_SL_TP,148.67,1.8792499999999999,1.8792499999999999,1.8794300000000002,1.87934,NEUTRAL,NEUTRAL,NEUTRAL,0.1026,0.3029,-9.885714285716286e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.87925,29.8,298.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.8000000000029104,1.58,0.0,0.0,0.0,0.0,False,,0.0,0.9300000000010187,STRESSED,False,1.0300000000010188,0.0015271816788060039,0.4579374188402983,False,0.7837859606772446,NEUTRAL,0.05308014210447214,0.7161022636260063,1.0300000000002416,STRESSED,-0.051552960425666136,0.06768369705123833,7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8053,80.53,190,,0,LONDON_NY_OVERLAP,25.56,NEUTRAL,Belum ada arah BUY/SELL matang.,32.50332980338622
GBPNZDm,H4,ZF_DYNAMIC_SL_TP,110.51,2.30635,2.30635,2.30659,2.30647,NEUTRAL,NEUTRAL,NEUTRAL,0.1258,0.3152,0.0011257142857145131,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,2.30635,49.3,493.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.399999999997959,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.028989061335614706,-0.18652028898084608,True,0.7811629218498706,NEUTRAL,0.03034383349553541,0.77961778370359,1.1,STRESSED,-0.0013547721599207023,0.0015451381462805447,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.7921,79.21,202,,0,LONDON_NY_OVERLAP,20.69,NEUTRAL,Belum ada arah BUY/SELL matang.,29.971714609249354
GBPCHFm,H4,ZF_DYNAMIC_SL_TP,169.13,1.0629,1.0629,1.06305,1.062975,BUY,BUY,STRICT,1.007,0.8337,-0.0005108571428571566,RANGE,73,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.85,1.0629,17.6,176.0,1.06114,DATA_DRIVEN,22.2,222.0,1.06512,DATA_DRIVEN,1.26,1.5000000000009448,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000003306,STRESSED,False,0.9250000000003306,0.031027583700083572,-1.5441811771585765,True,0.7307809196962372,BUY,0.029264207012225065,0.73392394785059,0.9250000000003306,STRESSED,0.0017633766878585068,-0.003143028154352856,0.0,False,False,LAMINAR,NORMAL,True,EKSEKUSI,,STRESSED,Setup BUY valid. Entry manual boleh dipertimbangkan dengan SL/TP yang tampil. Akurasi historis resolved sekitar 79.13%.,TRADEABLE,0.7913,79.13,206,,0,LONDON_NY_OVERLAP,67.45,PASS,,82.66420459848119
