Symbol,Asset_Class,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,Entry_Model,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Fibo_Position,Fibo_Aligned,Fibo_382,Fibo_500,Fibo_618,Metal_Gate_Ok,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
AUDUSDm,forex,M15,DYNAMIC_SL_TP,5.56,0.70709,0.70709,0.70718,0.7071350000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.2622,0.3563,9.371428571426665e-05,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,0.70709,MARKET_REFERENCE,7.6,76.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.900000000000345,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000001208,LAMINAR,False,0.7150000000001208,0.6719,False,0.70636,0.70666,0.70695,True,0.012644855806439695,0.10929880909516101,True,0.6539183143000573,NEUTRAL,0.0003267110432928151,0.7191115809367402,0.7149999999997322,LAMINAR,0.012318144763146879,-0.0651932666366829,3.885780586188048e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1268,68.49,152,1.25,1,LONDON_NY_OVERLAP,33.27,NEUTRAL,Belum ada arah BUY/SELL matang.,32.25689157150029
EURGBPm,forex,M15,DYNAMIC_SL_TP,5.92,0.86549,0.0,0.0,,NEUTRAL,NEUTRAL,NEUTRAL,0.1536,0.2175,8.942857142853738e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.86549,MARKET_REFERENCE,9.5,95.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,,3.5,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.9338,False,0.86474,0.8649,0.86506,True,0.04705016218306656,-0.02241980663915836,True,0.4164318875220365,NEUTRAL,0.04705016218306656,0.4164318875220365,1.1,STRESSED,0.0,0.0,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.0441,62.96,119,,0,LONDON_NY_OVERLAP,,NEUTRAL,Belum ada arah BUY/SELL matang.,9.929359437610184
GBPCADm,forex,M15,DYNAMIC_SL_TP,5.09,1.87698,0.0,0.0,,NEUTRAL,NEUTRAL,NEUTRAL,0.1404,0.2158,-0.0002751428571429096,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.87698,MARKET_REFERENCE,12.2,122.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,,3.5,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.2459,False,1.87756,1.87806,1.87857,True,0.04372676801843371,-0.0064094842639009775,True,0.42630084774699034,NEUTRAL,0.04372676801843371,0.42630084774699034,1.1,STRESSED,0.0,0.0,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,WATCH_ONLY,0.2798,77.38,89,,0,LONDON_NY_OVERLAP,,NEUTRAL,Belum ada arah BUY/SELL matang.,12.806704238734952
EURAUDm,forex,M15,DYNAMIC_SL_TP,7.11,1.64004,0.0,0.0,,NEUTRAL,NEUTRAL,NEUTRAL,0.5324,0.4049,-2.9714285714371904e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.64004,MARKET_REFERENCE,9.5,95.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,,3.5,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.1776,False,1.64135,1.64211,1.64287,True,0.04267588547175679,-0.39271517392537036,True,0.2820327560081599,NEUTRAL,0.04267588547175679,0.2820327560081599,1.1,STRESSED,0.0,0.0,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,WATCH_ONLY,0.2017,73.68,63,,0,LONDON_NY_OVERLAP,,NEUTRAL,Belum ada arah BUY/SELL matang.,17.436563780040803
GBPNZDm,forex,M15,DYNAMIC_SL_TP,4.83,2.30314,0.0,0.0,,NEUTRAL,NEUTRAL,NEUTRAL,0.8368,0.5697,-3.799999999998826e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,2.30314,MARKET_REFERENCE,14.8,148.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,,3.5,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.4637,False,2.3024,2.30347,2.30454,True,0.03382708379309133,-0.35107659438796474,False,0.2238064277967241,NEUTRAL,0.03382708379309133,0.2238064277967241,1.1,STRESSED,0.0,0.0,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,WATCH_ONLY,0.1731,68.33,66,,0,LONDON_NY_OVERLAP,,NEUTRAL,Belum ada arah BUY/SELL matang.,21.35903213898362
NZDCADm,forex,M15,DYNAMIC_SL_TP,6.18,0.81579,0.81579,0.81597,0.8158799999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.8317,0.724,0.00015114285714285926,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.81579,MARKET_REFERENCE,12.3,123.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7999999999995797,1.57,0.0,0.0,0.0,0.0,False,,0.0,0.9299999999998529,STRESSED,False,1.029999999999853,0.6575,False,0.81489,0.81527,0.81566,True,0.0059830223170009925,0.4548531642815891,True,0.7467809155059468,NEUTRAL,0.007006021468956001,0.7449726845819483,1.0300000000002416,STRESSED,-0.0010229991519550086,0.0018082309239985106,-3.885780586188048e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.1598,71.62,80,,0,LONDON_NY_OVERLAP,32.72,NEUTRAL,Belum ada arah BUY/SELL matang.,42.045104577529735
AUDCADm,forex,M15,DYNAMIC_SL_TP,7.6,0.99187,0.99187,0.99205,0.99196,SELL,SELL,PROJECTED,0.8868,0.7649,0.0002662857142857176,TREND,56,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.99187,ZF_FIBO_SELL_LIMIT,15.5,155.0,0.99342,DATA_DRIVEN,19.4,194.0,0.98993,DATA_DRIVEN,1.25,1.7999999999995797,1.57,0.0,0.0,0.0,0.0,False,,0.0,0.9299999999998529,STRESSED,False,1.029999999999853,0.9374,True,0.98939,0.98991,0.99044,True,0.0008902455572670265,0.5353156511930466,True,0.767087886772758,SELL,0.014525267426776305,0.6837329053995058,1.0300000000002416,STRESSED,-0.013635021869509278,0.08335498137325215,-3.885780586188048e-13,False,False,LAMINAR,PROFILE_LOCK,False,WATCH HISTORIS,Pair watch-only butuh confidence lebih tinggi untuk proyeksi.,STRESSED,Jangan entry. Pair ini belum lolos validasi historis.,WATCH_ONLY,0.0976,69.23,92,,0,LONDON_NY_OVERLAP,48.21,WATCH,quality 48.2 < 55.0,60.938939433863794
AUDCHFm,forex,M15,DYNAMIC_SL_TP,5.39,0.56056,0.0,0.0,,NEUTRAL,NEUTRAL,NEUTRAL,0.7888,0.5447,3.199999999998244e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.56056,MARKET_REFERENCE,9.5,95.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,,3.5,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.6815,False,0.55962,0.55999,0.56036,True,0.03406401073703715,0.7157657145267804,True,0.23188188374829738,NEUTRAL,0.03406401073703715,0.23188188374829738,1.1,STRESSED,0.0,0.0,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,WATCH_ONLY,0.0874,71.58,99,,0,LONDON_NY_OVERLAP,,NEUTRAL,Belum ada arah BUY/SELL matang.,20.205809418741488
EURCADm,forex,M15,DYNAMIC_SL_TP,5.38,1.6246399999999999,0.0,0.0,,NEUTRAL,NEUTRAL,NEUTRAL,0.0755,0.1717,-6.799999999994084e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.62464,MARKET_REFERENCE,11.3,113.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,,3.5,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.5306,False,1.62413,1.62453,1.62494,True,0.002972974764074225,-0.02460132588365853,True,0.408603132638972,NEUTRAL,0.002972974764074225,0.408603132638972,1.1,STRESSED,0.0,0.0,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,WATCH_ONLY,0.0665,63.86,89,,0,LONDON_NY_OVERLAP,,NEUTRAL,Belum ada arah BUY/SELL matang.,8.89181566319486
UKOILm,energy,M15,DYNAMIC_SL_TP,5.96,80.35,0.0,0.0,,NEUTRAL,NEUTRAL,NEUTRAL,0.7363,0.5738,0.07460000000000276,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,80.35,MARKET_REFERENCE,82.6,826.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,,3.5,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.602,False,79.362,79.892,80.422,True,0.13188858986049123,4.428753384458165,True,0.27672108095020176,NEUTRAL,0.13188858986049123,0.27672108095020176,1.1,STRESSED,0.0,0.0,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,WATCH_ONLY,0.0507,58.75,88,,0,LONDON_NY_OVERLAP,,NEUTRAL,Belum ada arah BUY/SELL matang.,18.270005404751007
XAUUSDm,metal,M15,DYNAMIC_SL_TP,4.85,4364.402,4364.402,4364.682,4364.5419999999995,NEUTRAL,SELL,METAL_RESONANCE_BLOCK,1.1727,0.9297,4.498828571428799,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,4364.402,MARKET_REFERENCE,1348.2,13482.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,27.999999999974534,24.5,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.9893,False,4335.339,4340.986,4346.633,False,0.058419766598169345,1.8564623425240585,True,0.7061105467764495,NEUTRAL,0.01366189281951166,0.7749075956539742,1.1,VOID,0.044757873778657684,-0.06879704887752469,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,FOCUS,-0.1342,53.49,134,,0,LONDON_NY_OVERLAP,12.34,NEUTRAL,Belum ada arah BUY/SELL matang.,32.286352733882254
