Symbol,Asset_Class,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Kelly_Full,Kelly_Risk_Multiplier,Dynamic_Lot,Entry_Price,Entry_Model,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Fibo_Position,Fibo_Aligned,Fibo_382,Fibo_500,Fibo_618,Metal_Gate_Ok,OKX_Status,OKX_Instrument,OKX_Last,OKX_Funding_Rate,OKX_Open_Interest,OKX_Open_Interest_USD,OKX_OI_Change_Pct,OKX_External_Stress,OKX_Funding_Bias,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
AUDUSDm,forex,M15,DYNAMIC_SL_TP,5.56,0.70285,0.70285,0.70294,0.702895,NEUTRAL,NEUTRAL,NEUTRAL,0.6514,0.5051,0.00015828571428573343,TREND,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,0.5,0.0,0.70285,MARKET_REFERENCE,9.5,95.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.900000000000345,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000001208,LAMINAR,False,0.7150000000001208,0.4204,False,0.70254,0.70349,0.70444,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.024794521654008812,0.3975398283817284,False,0.3424031331947854,NEUTRAL,0.006753051513056627,0.6857585870777957,0.7150000000001208,LAMINAR,0.018041470140952184,-0.3433554538830103,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1268,68.49,152,1.25,1,THIN_SESSION,38.41,NEUTRAL,Belum ada arah BUY/SELL matang.,39.75351566597393
EURGBPm,forex,M15,DYNAMIC_SL_TP,5.92,0.86514,0.86514,0.86527,0.865205,NEUTRAL,NEUTRAL,NEUTRAL,0.5239,0.5378,2.2857142856760687e-06,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.5,0.0,0.86514,MARKET_REFERENCE,9.6,96.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.2999999999996346,1.14,0.0,0.0,0.0,0.0,False,,0.0,0.754999999999872,STRESSED,False,0.854999999999872,0.4937,False,0.86496,0.86515,0.86534,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.00039405233172961073,0.09833783394763715,False,0.7331935151969656,NEUTRAL,0.04705016218306656,0.4164318875220365,1.1,STRESSED,-0.046656109851336953,0.3167616276749291,-0.24500000000012812,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0441,62.96,119,,0,THIN_SESSION,27.71,NEUTRAL,Belum ada arah BUY/SELL matang.,32.678467575984826
GBPCADm,forex,M15,DYNAMIC_SL_TP,5.09,1.87761,1.87761,1.87779,1.8777,NEUTRAL,SELL,ZF_FLOOR_BLOCK,0.6763,0.5566,0.0003499999999999162,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.5,0.0,1.87761,MARKET_REFERENCE,15.5,155.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.80000000000069,1.58,0.0,0.0,0.0,0.0,False,,0.0,0.9300000000002415,STRESSED,False,1.0300000000002416,0.6964,True,1.87482,1.87587,1.87692,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.008801760033561692,0.28652636030402345,False,0.484105493655822,NEUTRAL,0.04372676801843371,0.42630084774699034,1.1,STRESSED,-0.03492500798487202,0.057804645908831664,-0.06999999999975848,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.2798,77.38,89,,0,THIN_SESSION,31.32,NEUTRAL,Belum ada arah BUY/SELL matang.,38.89612746827911
EURAUDm,forex,M15,DYNAMIC_SL_TP,7.11,1.6385999999999998,1.6385999999999998,1.63877,1.638685,NEUTRAL,NEUTRAL,NEUTRAL,0.1983,0.2602,-0.00014428571428588374,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.5,0.0,1.6386,MARKET_REFERENCE,11.7,117.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7000000000022553,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8950000000007894,STRESSED,False,0.9950000000007894,0.1568,False,1.64039,1.64133,1.64228,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.009589278326940282,-0.14130287620506948,True,0.46157071155315965,NEUTRAL,0.04267588547175679,0.2820327560081599,1.1,STRESSED,-0.03308660714481651,0.17953795554499974,-0.10499999999921072,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.2017,73.68,63,,0,THIN_SESSION,21.47,NEUTRAL,Belum ada arah BUY/SELL matang.,24.7971535577658
GBPNZDm,forex,M15,DYNAMIC_SL_TP,4.83,2.30041,2.30041,2.30065,2.30053,NEUTRAL,NEUTRAL,NEUTRAL,1.0159,0.743,-0.0005208571428571805,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.5,0.0,2.30041,MARKET_REFERENCE,17.4,174.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.4000000000023998,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.1212,False,2.30267,2.30369,2.30471,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.021559530530089875,-0.5140348152361676,False,0.40816343530273747,NEUTRAL,0.03382708379309133,0.2238064277967241,1.1,STRESSED,-0.012267553263001454,0.18435700750601336,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,WATCH_ONLY,0.1731,68.33,66,,0,THIN_SESSION,28.22,NEUTRAL,Belum ada arah BUY/SELL matang.,40.66741717651368
NZDCADm,forex,M15,DYNAMIC_SL_TP,6.18,0.81611,0.81611,0.81629,0.8162,NEUTRAL,SELL,ZF_FLOOR_BLOCK,0.8901,0.6892,0.0003362857142857113,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.5,0.0,0.81611,MARKET_REFERENCE,15.5,155.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7999999999995797,1.57,0.0,0.0,0.0,0.0,False,,0.0,0.9299999999998529,STRESSED,False,1.029999999999853,0.9443,True,0.81359,0.81411,0.81464,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.023320550334340037,0.7857725571245489,False,0.46597221314496096,SELL,0.004357680089959543,0.7524975733155556,1.029999999999853,STRESSED,0.018962870244380495,-0.2865253601705946,0.0,True,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",WATCH_ONLY,0.1598,71.62,80,,0,THIN_SESSION,32.08,NEUTRAL,Belum ada arah BUY/SELL matang.,41.223461065724806
AUDCADm,forex,M15,DYNAMIC_SL_TP,7.6,0.9913,0.9913,0.99148,0.99139,NEUTRAL,NEUTRAL,NEUTRAL,0.6147,0.5206,0.00027342857142850064,TREND,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,0.5,0.0,0.9913,MARKET_REFERENCE,15.5,155.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.80000000000069,1.58,0.0,0.0,0.0,0.0,False,,0.0,0.9300000000002415,STRESSED,False,1.0300000000002416,0.7738,False,0.98924,0.98986,0.99048,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.00035618849130502294,0.545509277159628,True,0.4640645437839034,NEUTRAL,0.0024498441999183103,0.7593133631813798,1.029999999999853,STRESSED,-0.0020936557086132872,-0.2952488193974764,3.885780586188048e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.0976,69.23,92,-1.0,1,THIN_SESSION,20.62,NEUTRAL,Belum ada arah BUY/SELL matang.,29.815722718919517
AUDCHFm,forex,M15,DYNAMIC_SL_TP,5.39,0.56128,0.56128,0.56137,0.5613250000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.0183,0.1493,3.999999999999172e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.5,0.0,0.56128,MARKET_REFERENCE,7.6,76.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.900000000000345,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000001208,LAMINAR,False,0.7150000000001208,0.8667,False,0.55968,0.56007,0.56046,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.015332511086604708,0.08848275603432183,True,0.4563963715362314,NEUTRAL,0.03406401073703715,0.23188188374829738,1.1,STRESSED,-0.018731499650432443,0.22451448778793404,-0.3849999999998793,False,True,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.0874,71.58,99,,0,THIN_SESSION,22.7,NEUTRAL,Belum ada arah BUY/SELL matang.,21.48538185768116
EURCADm,forex,M15,DYNAMIC_SL_TP,5.38,1.62449,1.62449,1.6246399999999999,1.624565,SELL,SELL,PROJECTED,0.8021,0.6551,0.0002982857142856669,TREND,49,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.5,0.0,1.62449,ZF_FIBO_SELL_LIMIT,13.5,135.0,1.62584,DATA_DRIVEN,16.9,169.0,1.6228,DATA_DRIVEN,1.25,1.4999999999987244,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8249999999995534,STRESSED,False,0.9249999999995534,0.659,True,1.62256,1.62338,1.62421,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.01232352091573592,0.3600501424893049,True,0.5490697131708646,NEUTRAL,0.002972974764074225,0.408603132638972,1.1,STRESSED,0.009350546151661695,0.1404665805318926,-0.1750000000004467,True,False,RESONANCE_MISMATCH,PROFILE_LOCK,False,WATCH HISTORIS,Pair watch-only butuh confidence lebih tinggi untuk proyeksi.,ANOMALOUS,Jangan entry. Pair ini belum lolos validasi historis.,WATCH_ONLY,0.0665,63.86,89,,0,THIN_SESSION,44.71,WATCH,quality 44.7 < 55.0 | sesi market tipis untuk sinyal proyeksi,54.63024856585432
UKOILm,energy,M15,DYNAMIC_SL_TP,5.96,81.097,78.204,78.231,78.2175,SELL,SELL,PROJECTED,1.0418,0.8661,0.19477142857142593,TREND,78,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.5,0.0,81.097,ZF_FIBO_SELL_LIMIT,203.1,2031.0,83.128,DATA_DRIVEN,294.3,2943.0,78.154,DATA_DRIVEN,1.45,2.7000000000001023,2.36,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.7685,True,79.362,79.892,80.422,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,1.8482805724488107,5.815962802034946,False,0.5607851239669421,NEUTRAL,0.13188858986049123,0.27672108095020176,1.1,STRESSED,1.7163919825883194,0.2840640430167404,0.0,True,False,RESONANCE_MISMATCH,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,ANOMALOUS,Jangan entry. Risiko slippage terlalu besar.,WATCH_ONLY,0.0507,58.75,88,,0,THIN_SESSION,44.8,WATCH,quality 44.8 < 55.0 | sesi market tipis untuk sinyal proyeksi,63.25832561983471
