Symbol,Asset_Class,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Historical_Optimizer_ZF_Floor,Kelly_Full,Kelly_Risk_Multiplier,Dynamic_Lot,Entry_Price,Entry_Model,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Fibo_Position,Fibo_Aligned,Fibo_382,Fibo_500,Fibo_618,Metal_Gate_Ok,OKX_Status,OKX_Instrument,OKX_Last,OKX_Funding_Rate,OKX_Open_Interest,OKX_Open_Interest_USD,OKX_OI_Change_Pct,OKX_External_Stress,OKX_Funding_Bias,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
GBPCADm,forex,M15,DYNAMIC_SL_TP,4.54,1.87737,1.87737,1.87755,1.8774600000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.6869,0.6438,0.0002940000000000483,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,1.87737,MARKET_REFERENCE,15.5,155.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.80000000000069,1.58,0.0,0.0,0.0,0.0,False,,0.0,0.9300000000002415,STRESSED,False,1.0300000000002416,0.6693,False,1.87482,1.87587,1.87692,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.00559389275782103,0.3018237143807849,True,0.7485350078247248,NEUTRAL,0.010465748339575316,0.35295478802809716,1.0299999999994645,STRESSED,-0.004871855581754286,0.39558021979662766,7.771561172376096e-13,False,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",TRADEABLE,0.633,81.25,17,,0,THIN_SESSION,36.01,NEUTRAL,Belum ada arah BUY/SELL matang.,46.10257503912363
CADCHFm,forex,M15,DYNAMIC_SL_TP,7.28,0.5663,0.5663,0.56638,0.5663400000000001,BUY,NEUTRAL,STRICT,1.0843,0.8597,-4.8571428571397724e-05,TREND,83,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.84,0.5663,ZF_FIBO_BUY_LIMIT,8.9,89.0,0.56541,DATA_DRIVEN,11.1,111.0,0.56741,DATA_DRIVEN,1.25,0.7999999999996897,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5799999999998914,LAMINAR,False,0.6799999999998914,0.4728,True,0.56603,0.56638,0.56673,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.007298570420175967,-0.26941092269274663,True,0.671871157440395,,,,,,,,0.0,False,False,NEW_SYMBOL,NORMAL,True,EKSEKUSI,,LAMINAR,Setup BUY valid. Entry manual boleh dipertimbangkan dengan SL/TP yang tampil. Akurasi historis resolved sekitar 81.25%.,TRADEABLE,0.3989,81.25,17,,0,THIN_SESSION,75.34,PASS,,86.77635578720198
GBPNZDm,forex,M15,DYNAMIC_SL_TP,3.43,2.29937,2.29937,2.29961,2.29949,BUY,BUY,STRICT,1.1089,0.8898,-0.0006622857142859332,RANGE,73,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.55,0.0,0.5,0.0,2.29937,ZF_FIBO_BUY_LIMIT,18.3,183.0,2.29754,DATA_DRIVEN,23.1,231.0,2.30168,DATA_DRIVEN,1.26,2.399999999997959,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.0515,True,2.30238,2.30346,2.30454,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.028829716942430902,-0.5846091951593537,True,0.7027075611750948,NEUTRAL,0.03106612290377196,0.26082241750400426,1.1,STRESSED,-0.002236405961341059,0.44188514367109055,0.0,True,False,RESONANCE_MISMATCH,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,ANOMALOUS,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.3584,73.33,15,,0,THIN_SESSION,57.66,PASS,,74.84253780587547
USDCHFm,forex,M15,DYNAMIC_SL_TP,7.1,0.79872,0.79872,0.79885,0.798785,NEUTRAL,NEUTRAL,NEUTRAL,0.855,0.7273,2.5999999999947137e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,0.79872,MARKET_REFERENCE,9.6,96.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.2999999999996346,1.14,0.0,0.0,0.0,0.0,False,,0.0,0.754999999999872,STRESSED,False,0.854999999999872,0.7383,False,0.79497,0.79622,0.79746,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.028542663378217092,-0.3622745368872505,True,0.6661279287899377,,,,,,,,0.0,False,False,NEW_SYMBOL,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.2677,65.22,29,,0,THIN_SESSION,37.21,NEUTRAL,Belum ada arah BUY/SELL matang.,44.83533964394968
BTCJPYm,crypto,M15,DYNAMIC_SL_TP,4.88,10371629.0,10371629.0,10373868.0,10372748.5,NEUTRAL,NEUTRAL,NEUTRAL,0.0367,0.2336,261.9142857144952,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.55,0.0,0.5,0.0,10371629.0,MARKET_REFERENCE,34783.1,34783.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2239.0,1959.12,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.3007,False,10402547.252,10447421.0,10492294.748,True,"ERROR: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/market/ticker?instId=BTC-USDT-SWAP (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.okx.com'. (_ssl.c:1081)"")))",BTC-USDT-SWAP,,,,,,0.0,NEUTRAL,0.0864959820480902,-0.5566831291738953,True,0.5690043280327246,,,,,,,,0.0,False,False,NEW_SYMBOL,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.1932,68.75,16,,0,THIN_SESSION,2.34,NEUTRAL,Belum ada arah BUY/SELL matang.,11.764821640163623
BTCCNHm,crypto,M15,DYNAMIC_SL_TP,6.94,436784.6,436784.6,437090.1,436937.35,NEUTRAL,NEUTRAL,NEUTRAL,0.0687,0.2544,-28.502857142897465,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.45,0.0,0.5,0.0,436784.6,MARKET_REFERENCE,14609.3,14609.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,3055.0,2673.12,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.2647,False,438679.3,440585.7,442492.0,True,"ERROR: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/market/ticker?instId=BTC-USDT-SWAP (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.okx.com'. (_ssl.c:1081)"")))",BTC-USDT-SWAP,,,,,,0.0,NEUTRAL,0.09422179264872277,-0.822795595371339,True,0.5683064388306354,,,,,,,,0.0,False,False,NEW_SYMBOL,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.1491,71.43,16,,0,THIN_SESSION,2.76,NEUTRAL,Belum ada arah BUY/SELL matang.,12.365932194153178
AUDJPYm,forex,M15,DYNAMIC_SL_TP,2.83,112.976,112.976,112.995,112.9855,NEUTRAL,NEUTRAL,NEUTRAL,0.709,0.6593,0.01920000000000439,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,112.976,MARKET_REFERENCE,16.1,161.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.9000000000005457,1.66,0.0,0.0,0.0,0.0,False,,0.0,0.965000000000191,STRESSED,False,1.0650000000001911,0.5776,False,112.803,112.907,113.012,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.015172736048614636,0.6696659469536915,True,0.7326113127179766,,,,,,,,0.0,False,False,NEW_SYMBOL,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1447,63.16,21,,0,THIN_SESSION,27.65,NEUTRAL,Belum ada arah BUY/SELL matang.,36.42495656358988
EURCADm,forex,M15,DYNAMIC_SL_TP,6.71,1.6242999999999999,1.6242999999999999,1.62445,1.624375,NEUTRAL,NEUTRAL,NEUTRAL,0.8084,0.7173,0.00016999999999991886,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,1.6243,MARKET_REFERENCE,13.5,135.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.5000000000009448,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000003306,STRESSED,False,0.9250000000003306,0.6317,False,1.62256,1.62338,1.62421,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.003488504635131051,0.38060969509416076,True,0.7411775656559002,NEUTRAL,0.013862153908718785,0.37711342027807904,0.9250000000003306,STRESSED,-0.010373649273587734,0.36406414537782117,0.0,False,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",TRADEABLE,0.1091,56.25,17,,0,THIN_SESSION,30.9,NEUTRAL,Belum ada arah BUY/SELL matang.,39.0080878282795
BTCUSDm,crypto,M15,DYNAMIC_SL_TP,3.76,64564.03,64564.03,64574.03,64569.03,NEUTRAL,NEUTRAL,NEUTRAL,0.0049,0.2253,6.038285714287592,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.45,0.0,0.5,0.0,64564.03,MARKET_REFERENCE,21830.1,21830.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1000.0,875.0,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.2797,False,64824.76,65125.57,65426.38,True,"ERROR: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/market/ticker?instId=BTC-USDT-SWAP (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.okx.com'. (_ssl.c:1081)"")))",BTC-USDT-SWAP,,,,,,0.0,NEUTRAL,0.07354147653702717,-0.5285159492328427,True,0.5717556103096032,,,,,,,,0.0,False,False,NEW_SYMBOL,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.089,69.05,42,,0,THIN_SESSION,0.22,NEUTRAL,Belum ada arah BUY/SELL matang.,9.294178051548016
USDCADm,forex,M15,DYNAMIC_SL_TP,7.31,1.41035,1.41035,1.41049,1.41042,NEUTRAL,NEUTRAL,NEUTRAL,0.5598,0.5494,0.000161142857142863,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.45,0.0,0.5,0.0,1.41035,MARKET_REFERENCE,10.2,102.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.4000000000002897,1.23,0.0,0.0,0.0,0.0,False,,0.0,0.7900000000001013,STRESSED,False,0.8900000000001013,0.8546,False,1.40431,1.40582,1.40732,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.018855118302388826,-0.034934789493445875,True,0.6935641283245064,,,,,,,,0.0,False,False,NEW_SYMBOL,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0832,63.64,24,,0,THIN_SESSION,28.01,NEUTRAL,Belum ada arah BUY/SELL matang.,33.586920641622534
