Signal_Date,Signal_Type,Signals,Wins,Losses,Expired,Win_Rate_Resolved,Expectancy_R,Avg_RR
2026-06-24,MANUAL_COUNTER,4,0,4,0,0.0,-1.0,1.93
2026-06-23,STRICT,1,0,1,0,0.0,-1.0,1.45
2026-06-22,STRICT,1,0,1,0,0.0,-1.0,1.45
2026-06-19,STRICT,2,0,1,1,0.0,-0.5,1.25
2026-06-18,PROJECTED,1,0,1,0,0.0,-1.0,1.25
2026-06-18,STRICT,3,0,1,2,0.0,-0.3333,1.25
2026-06-17,STRICT,5,2,3,0,40.0,-0.1,1.25
2026-06-16,STRICT,1,1,0,0,100.0,1.0,0.0
2026-06-15,PROJECTED,1,0,1,0,0.0,-1.0,1.25
2026-06-15,STRICT,1,0,1,0,0.0,-1.0,1.25
2026-06-12,UNKNOWN,2,1,1,0,50.0,0.125,1.25
